Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date
Adolph Coors Foundation,2011,Heart of Colorado,Chaffee,Boys & Girls Clubs of Chaffee County,"$10,000.00",Salida,General Operating,,
Adolph Coors Foundation,2011,Heart of Colorado,Custer,Cross D Bar Recreation Center,"$5,000.00",Westcliffe,General Operating,,
Adolph Coors Foundation,2011,Heart of Colorado,Fremont,Boys & Girls of Fremont County,"$10,000.00",Canon City,General Operating,,
Adolph Coors Foundation,2011,Heart of Colorado,Park,Boys & Girls Club of South Park,"$10,000.00",Fairplay,General Operating,,
Adolph Coors Foundation,2011,Heart of Colorado,Summit,Summit County Family Resource Center,"$10,000.00",Dillon,General Operating,,
Adolph Coors Foundation,2011,Northwest,Routt,Family Resource Center,"$10,000.00",Sterling,General Operating,,
Adolph Coors Foundation,2011,Northwest,Routt,Steamboat Springs Pregnancy Resource Center,"$8,000.00",Steamboat Springs,General Operating,,
Adolph Coors Foundation,2011,San Juan,Montrose,Black Canyon Boys & Girls Club,"$10,000.00",Montrose,General Operating,,
Adolph Coors Foundation,2011,San Juan,Montrose,Delta Montrose Youth Services,"$15,000.00",Montrose,General Operating,,
Adolph Coors Foundation,2011,San Juan,Ouray,Ouray County Schools Community Resource Consortium,"$8,000.00",Ridgway,General Operating,,
Adolph Coors Foundation,2011,San Juan,San Miguel,San Miguel Mentoring Program,"$10,000.00",Telluride,General Operating,,
Adolph Coors Foundation,2011,San Luis Valley,Alamosa,Center for Restorative Programs,"$7,500.00",Alamosa,General Operating,,
Adolph Coors Foundation,2011,San Luis Valley,Rio Grande,High Valley Community Center,"$7,500.00",Del Norte,General Operating,,
Adolph Coors Foundation,2011,San Luis Valley,Saguache,Crestone Youth Plaza,"$10,000.00",Crestone,General Operating,,
Adolph Coors Foundation,2011,Southeast,Huerfano,Huerfano County Youth Services,"$10,000.00",Walsenburg,General Operating,,
Adolph Coors Foundation,2011,Southeast,Kiowa,Crow Luther Cultural Events Center,"$50,000.00",Eads,General Operating,,
Adolph Coors Foundation,2011,Southeast,Las Animas,Kim Equestrian Pavillion & Event Center,"$30,000.00",Kim,Capital,,
Adolph Coors Foundation,2011,Southeast,Otero,Friends of the Rocky Ford Library,"$10,000.00",Rocky Ford,Capital,,
Adolph Coors Foundation,2011,Southwest,La Plata,Big Brothers Big Sisters of Southwest CO,"$15,000.00",Durango,General Operating,,
Adolph Coors Foundation,2011,Southwest,La Plata,People Improving Communities and Kids,"$10,000.00",Hesperus,General Operating,,
Adolph Coors Foundation,2011,Western Slope,Eagle,Access Roaring Fork,"$10,000.00",Basalt,General Operating,,
Adolph Coors Foundation,2011,Western Slope,Garfield,Roaring Fork Business Resource Center,"$5,000.00",Glenwood Springs,General Operating,,
Adolph Coors Foundation,2011,Western Slope,Garfield,YouthZone,"$10,000.00",Glenwood Springs,General Operating,,
Adolph Coors Foundation,2011,Western Slope,Mesa,Girls On The Run of the Grand Valley,"$5,000.00",Grand Junction,General Operating,,
Adolph Coors Foundation,2011,Western Slope,Mesa,Riverside Educational Center,"$7,500.00",Grand Junction,General Operating,,
Adolph Coors Foundation,2011,Western Slope,Mesa,St. Mary's Foster Grandparent Program,"$7,500.00",Grand Junction,General Operating,,
Adolph Coors Foundation,2011,Western Slope,Mesa,Western CO Math and Science Center,"$12,000.00",Grand Junction,General Operating,,
Adolph Coors Foundation,2011,Western Slope,Pitkin,Computers for Kids Foundation,"$10,000.00",Carbondale,General Operating,,
Anschutz Family Foundation,2011,Heart of Colorado,Chaffee,The Grainery Ministries,"$5,000.00",Salida,General Operating,"Food, Agriculture, Nutrition",
Anschutz Family Foundation,2011,Heart of Colorado,Chaffee,Chaffee People's Clinic,"$5,000.00",Salida,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Heart of Colorado,Chaffee,Family and Youth Initiatives,"$5,000.00",Salida,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Heart of Colorado,Custer,Excellence in Education Committee and Designated Fund,"$3,500.00",Westcliffe,Program,Education,
Anschutz Family Foundation,2011,Heart of Colorado,Custer,VALI Residence and VALI Home Care,"$5,000.00",Silver Cliff,General Operating,Disabled Persons,
Anschutz Family Foundation,2011,Heart of Colorado,Custer,"Boys and Girls Club of Fremont County, Inc.","$5,000.00",Canon City,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Heart of Colorado,Fremont,Park Avenue Child Center,"$5,000.00",Canon City,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Heart of Colorado,Fremont,Arkansas Valley Ambulance,"$5,000.00",Cotopaxi,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Heart of Colorado,Fremont,"The Canon City Golden Age Council, Inc.","$5,000.00",Canon City,General Operating,,
Anschutz Family Foundation,2011,Heart of Colorado,Fremont,The Florence Senior Center,"$5,000.00",Florence,General Operating,,
