Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date
Adolph Coors Foundation,2010,Heart of Colorado,Custer,Lighthouse Resource and Pregnancy Center,25000.00,Westcliffe,Capital,,
Adolph Coors Foundation,2010,Heart of Colorado,Lake,Full Circle of Lake County,10000.00,Leadville,General Operating,,
Adolph Coors Foundation,2010,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,20000.00,Breckenridge,General Operating,,
Adolph Coors Foundation,2010,Heart of Colorado,Teller,CO Lions Camp,25000.00,Woodland Park,Capital,,
Adolph Coors Foundation,2010,Heart of Colorado,Teller,Help The Needy,10000.00,Woodland Park,General Operating,,
Adolph Coors Foundation,2010,Heart of Colorado,Teller,Woodland Park Pregnancy Center,5000.00,Woodland Park,General Operating,,
Adolph Coors Foundation,2010,Northeast,Kit Carson,"Dynamic Dimension, Inc.",5000.00,Burlington,General Operating,,
Adolph Coors Foundation,2010,Northeast,Kit Carson,"Prairie Family Center, Inc.",5000.00,Burlington,General Operating,,
Adolph Coors Foundation,2010,Northeast,Yuma,City of Wray (Friends of Wray Public Library),10000.00,Wray,Capital,,
Adolph Coors Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,15000.00,Craig,General Operating,Children and Youth Services,
Adolph Coors Foundation,2010,Northwest,Routt,Northwest CO Visiting Nurse Association,20000.00,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2010,Northwest,Routt,Partners in Routt Coutny,7000.00,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2010,Northwest,Routt,Steamboat Training Adaptive Recreational Sports,5000.00,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2010,San Juan,Montrose,RSVP Colorado West,5000.00,Montrose,General Operating,"Philanthropy, Volunteerism, Grants",
Adolph Coors Foundation,2010,San Juan,San Miguel,The Pinhead Institute,7500.00,Telluride,General Operating,,
Adolph Coors Foundation,2010,San Luis Valley,Alamosa,"Alamosa Senior Citizens, Inc.",5000.00,Alamosa,General Operating,Human Services,
Adolph Coors Foundation,2010,San Luis Valley,Alamosa,Boys & Girls Club of the San Luis Valley,15000.00,Alamosa,General Operating,Children and Youth Services,
Adolph Coors Foundation,2010,Southeast,Bent,Bent County/Las Animas Community Center,5000.00,Las Animas,General Operating,,
Adolph Coors Foundation,2010,Southeast,Otero,Tri-County Family Care Center,5000.00,Rocky Ford,General Operating,,
Adolph Coors Foundation,2010,Southeast,Prowers,Southeastern CO Homeless Center,3500.00,Lamar,General Operating,,
Adolph Coors Foundation,2010,Southwest,La Plata,Alternative Horizons Corporation,5000.00,Durango,General Operating,,
Adolph Coors Foundation,2010,Southwest,La Plata,Boys & Girls Club of La Plata County,10000.00,Durango,General Operating,Children and Youth Services,
Adolph Coors Foundation,2010,Southwest,La Plata,Cross Bar X Youth Ranch,15000.00,Durango,General Operating,,
Adolph Coors Foundation,2010,Southwest,La Plata,Durango Discovery Museum,50000.00,Durango,Capital,,
Adolph Coors Foundation,2010,Southwest,La Plata,Manna - The Durango Soup Kitchen,25000.00,Durango,Capital,,
Adolph Coors Foundation,2010,Southwest,Montezuma,"Hospice of Montezuma, Inc.",8000.00,Cortez,General Operating,Hospice,
Adolph Coors Foundation,2010,Western Slope,Eagle,Eagle River Youth Coalition,5000.00,Edwards,General Operating,,
Adolph Coors Foundation,2010,Western Slope,Eagle,Youth Foundation,7500.00,Edwards,General Operating,,
Adolph Coors Foundation,2010,Western Slope,Garfield,"Columbine Home Health, Inc.",10000.00,Glenwood Springs,General Operating,,
Adolph Coors Foundation,2010,Western Slope,Garfield,Family Visitor Program,10000.00,Glenwood Springs,General Operating,,
Adolph Coors Foundation,2010,Western Slope,Mesa,Boy Scouts of America/Western CO Council,5000.00,Grand Junction,General Operating,Children and Youth Services,
Adolph Coors Foundation,2010,Western Slope,Mesa,Collbran Job Corps Center,3000.00,Collbran,General Operating,"Employment, Job training",
Adolph Coors Foundation,2010,Western Slope,Mesa,Kids Voting Mesa County,5000.00,Grand Junction,General Operating,,
Adolph Coors Foundation,2010,Western Slope,Pitkin,The Buddy Program,10000.00,Aspen,General Operating,,
Anschutz Family Foundation,2010,Heart of Colorado,Chaffee,Heart of Colorado Rural Philanthropy Days Regional Coordination,5000.00,Salida,Program,,
Anschutz Family Foundation,2010,Heart of Colorado,Chaffee,Chaffee Housing Trust,5000.00,Salida,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2010,Heart of Colorado,Chaffee,Valley to Valley Senior Care Center,5000.00,Salida,General Operating,,
Anschutz Family Foundation,2010,Heart of Colorado,Chaffee,Boys and Girls Clubs of Chaffee County,5000.00,Salida,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Custer,"Valley Assisted Living, Inc.",5500.00,Silver Cliff,Capital,,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,Park Avenue Child Center,5000.00,Canon City,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,Florence Senior Citizen Council on Aging,5000.00,Florence,General Operating,,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,Senior Services Solutions Plus,5000.00,Canon City,General Operating,,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,"Family Crisis Services, Inc.",5000.00,Canon City,Program,Abuse & Neglect Prevention,
Anschutz Family Foundation,2010,Heart of Colorado,Fremont,"Boys and Girls Club of Fremont County, Inc.",5000.00,Canon City,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Lake,Small Steps of Lake County,2400.00,Leadville,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Lake,"Full Circle of Lake County, Inc.",5000.00,Leadville,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Park,South Park Early Childhood System,5000.00,Fairplay,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Park,"South Park Seniors, Inc.",5000.00,Fairplay,Program,,
Anschutz Family Foundation,2010,Heart of Colorado,Park,Mountain Peace Shelter,5000.00,Bailey,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2010,Heart of Colorado,Summit,CASA of the Continental Divide,5000.00,Dillon,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,5000.00,Breckenridge,General Operating,Disabled Persons,
Anschutz Family Foundation,2010,Heart of Colorado,Summit,Summit Community Care Clinic,5000.00,Frisco,General Operating,Health                                                                     ,
Anschutz Family Foundation,2010,Heart of Colorado,Summit,Family & Intercultural Resource Center,5000.00,Dillon,Program,Emergency Assistance      ,
Anschutz Family Foundation,2010,Heart of Colorado,Summit,Summit County Youth and Family Services,5000.00,Frisco,Program,Children and Youth Services,
Anschutz Family Foundation,2010,Heart of Colorado,Teller,"Prospect Home Care & Hospice, Inc.",5000.00,Woodland Park,General Operating,Health                                                                     ,
Anschutz Family Foundation,2010,Heart of Colorado,Teller,Teller Senior Coalition,5000.00,Woodland Park,General Operating,,
Anschutz Family Foundation,2010,Northeast,Lincoln,Plains Medical Center,5000.00,Limon,Program,Health                                                                     ,
Anschutz Family Foundation,2010,Northeast,Logan,Morgan County Family Center,5000.00,Fort Morgan,General Operating,,
Anschutz Family Foundation,2010,Northeast,Morgan,The Production Company,5000.00,Wiggins,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northeast,Morgan,OneMorgan County,5000.00,Fort Morgan,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2010,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",5000.00,Fort Morgan,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2010,Northeast,Morgan,"S.A.R.A., Inc.",5000.00,Fort Morgan,General Operating,Abuse & Neglect Prevention,
Anschutz Family Foundation,2010,Northeast,Morgan,"S.H.A.R.E., Inc.",3709.00,Fort Morgan,Program,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2010,Northeast,Phillips,"Phillips County Family Education Services, Inc.",5000.00,Holyoke,General Operating,Education,
Anschutz Family Foundation,2010,Northeast,Yuma,Wray Community Child Care Center,5000.00,Wray,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northeast,Yuma,M12 Incorporated,5000.00,Yuma,General Operating,Economic Development      ,
Anschutz Family Foundation,2010,Northwest,Grand,Grand Beginnings,5000.00,Hot Sulphur Springs,Program,Children and Youth Services,
Anschutz Family Foundation,2010,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500.00,Hot Sulphur Springs,General Operating,Health                                                                     ,
Anschutz Family Foundation,2010,Northwest,Grand,Shining Stars Foundation,5000.00,Tabernash,General Operating,Health                                                                     ,
Anschutz Family Foundation,2010,Northwest,Grand,The Mountain Family Center,5000.00,Hot Sulphur Springs,General Operating,,
Anschutz Family Foundation,2010,Northwest,Grand,Advocates for a Violence-Free Community,5000.00,Hot Sulphur Springs,Program,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2010,Northwest,Jackson,North Park School District R-1,7500.00,Walden,Program,Education,
Anschutz Family Foundation,2010,Northwest,Moffat,Yampa Valley Partners,2325.00,Craig,General Operating,"Community, Public Affairs",
